Mô hình,Accuracy,Precision,Recall,F1-Score,F2-Score(β=2),AUC,Best Thresh
Logistic Reg.,0.992,0.7778,0.875,0.8235,0.8537,0.9986,0.24
LR (tuned),0.9938,0.8696,0.8333,0.8511,0.8403,0.999,0.17
SVM (Calibrated),0.9947,0.95,0.7917,0.8636,0.819,0.9985,0.05
SVM (tuned),0.9947,0.95,0.7917,0.8636,0.819,0.9985,0.05
Voting,0.992,0.8571,0.75,0.8,0.7692,0.9919,0.4
Random Forest,0.9885,0.7895,0.625,0.6977,0.6522,0.9972,0.3
NB (Bernoulli),0.9894,0.9286,0.5417,0.6842,0.5909,0.9342,0.05
NB (tuned),0.9336,0.1772,0.5833,0.2718,0.4,0.8087,0.93
NB (Multinomial),0.9256,0.1591,0.5833,0.25,0.3804,0.8441,0.89
NB (Complement),0.9256,0.1591,0.5833,0.25,0.3804,0.8441,0.89
